Date,Open,High,Low,Close,Adj Close,Volume
9/1/1988,14.28125,15.75,14.0625,15.25,5.842257,13184000
10/1/1988,15.25,17.125,15.15625,15.6875,6.009864,20440400
11/1/1988,15.6875,15.75,14.53125,15.375,5.890148,8448000
12/1/1988,15.3125,16.3125,15.15625,16.0625,6.192997,7871600
1/1/1989,16,16.71875,15.875,16.53125,6.373722,10192000
2/1/1989,16.53125,16.53125,14.90625,15,5.783342,12610400
3/1/1989,15.0625,15.9375,14.4375,15.90625,6.176471,16485200
4/1/1989,15.84375,16.71875,15.71875,16.34375,6.346352,9787200
5/1/1989,16.25,17.9375,16.125,17.28125,6.710391,10915200
6/1/1989,17.28125,18.5625,17.25,17.65625,6.897778,10633600
7/1/1989,17.78125,20.0625,17.4375,19.9375,7.789003,8318000
8/1/1989,19.9375,20.40625,18.875,19.625,7.666914,11080000
9/1/1989,19.625,19.75,17.5625,18.40625,7.229642,10840800
10/1/1989,18,18.75,16.25,17.4375,6.849131,23688800
11/1/1989,17.375,18.21875,16.6875,17.75,6.971877,14428800
12/1/1989,17.75,17.90625,16.3125,16.90625,6.680226,19054000
1/1/1990,16.84375,17.25,15.78125,16.15625,6.383875,19404000
2/1/1990,16.21875,16.21875,15.25,15.25,6.025787,11304000
3/1/1990,15.1875,15.59375,14.6875,15.28125,6.08496,12822000
4/1/1990,15.28125,16.53125,15.03125,15.34375,6.109848,10320800
5/1/1990,15.34375,16.96875,15.34375,16.3125,6.495604,13548000
6/1/1990,16.375,18.25,15.78125,16.40625,6.581253,13879200
7/1/1990,16.25,17.75,16,17.1875,6.89465,13821200
8/1/1990,17.25,17.25,15.0625,15.75,6.318003,9577600
9/1/1990,15.625,16.21875,15.25,15.71875,6.354969,7329200
10/1/1990,15.9375,18.5,15.71875,17.125,6.923504,18698000
11/1/1990,17.125,18.28125,17,18.0625,7.302528,14721200
12/1/1990,18.1875,19.375,18.125,18.96875,7.720747,8811600
1/1/1991,18.90625,19.75,17.5,19.5,7.93698,12952400
2/1/1991,19.5,21.09375,19.125,20.84375,8.483919,12200000
3/1/1991,20.75,23.75,20.5625,23.34375,9.562451,13358800
4/1/1991,23.25,24.65625,21.9375,22.75,9.319228,14131200
5/1/1991,22.6875,24.84375,22.3125,24.59375,10.074501,13458000
6/1/1991,24.46875,25.1875,23.53125,24.59375,10.129992,9512000
7/1/1991,24.71875,26.75,24.625,26.21875,10.799314,12446800
8/1/1991,26.21875,27.8125,25.5,27.09375,11.159719,8080800
9/1/1991,27.09375,27.3125,25.84375,27.09375,11.213937,7604400
10/1/1991,27.21875,28.25,25.1875,25.375,10.502557,15882400
11/1/1991,25.375,27.6875,24.78125,26.75,11.071665,11216800
12/1/1991,26.5625,33.5,26.5625,32.6875,13.6033,11457400
1/1/1992,32.25,33.5,27.1875,28.375,11.808597,20244000
2/1/1992,28.375,29.4375,27.375,28.5,11.860617,10436400
3/1/1992,28.5,29.25,27.625,28.8125,12.051056,10045400
4/1/1992,28.625,30.5,27.6875,28.3125,11.841926,9230600
5/1/1992,28.375,30.125,27.3125,29.25,12.234045,8238400
6/1/1992,29.3125,33.4375,28.875,33.1875,13.950379,12132400
7/1/1992,33.1875,33.625,31.375,32.3125,13.582572,8786800
8/1/1992,32.5,34.8125,32.3125,34.0625,14.318186,7171600
9/1/1992,33.875,36.6875,33.3125,35.6875,15.063739,9264600
10/1/1992,35.8125,37.5625,34.0625,37.5,15.828803,7126800
11/1/1992,37.4375,37.6875,32.9375,34,14.351449,9803800
12/1/1992,34,35.5,33.375,33.5,14.207994,8880400
1/1/1993,33.5,33.625,30.5625,31.0625,13.174206,15894600
2/1/1993,31,32.125,29.6875,32,13.571821,11229000
3/1/1993,32,33.9375,30.125,30.25,12.898398,12755200
4/1/1993,30.4375,30.5,27.5,28.875,12.312113,17830800
5/1/1993,28.8125,30.125,26.5625,27,11.512629,13331000
6/1/1993,26.75,27.875,25.5,27.4375,11.769078,11282400
7/1/1993,27.4375,27.4375,24.125,24.375,10.45544,10732200
8/1/1993,24.375,26.5625,23.625,26,11.152473,14036600
9/1/1993,26,27.375,24.75,24.75,10.6855,12754400
10/1/1993,24.5625,28.75,24.375,28.5625,12.3315,16938000
11/1/1993,28.375,30.9375,27.375,30.1875,13.033074,11882200
12/1/1993,30.1875,30.6875,28.375,28.375,12.318645,11820400
1/1/1994,28.25,29,26.75,26.875,11.667443,13271800
2/1/1994,26.625,27.0625,25,25.25,10.961966,13623600
3/1/1994,25.3125,25.8125,23.6875,25.4375,11.116756,19191600
4/1/1994,24.75,26.625,23.6875,25.1875,11.007504,12831400
5/1/1994,25.0625,26.375,24.5,26.1875,11.444527,9782200
6/1/1994,26.3125,28.625,26.0625,27.1875,11.959375,12903400
7/1/1994,27.1875,27.625,25.75,25.875,11.382029,8182000
8/1/1994,25.875,28.75,25.5625,28.3125,12.454246,11552800
9/1/1994,28.1875,28.6875,26.6875,28.6875,12.701031,9228600
10/1/1994,28.5625,29.6875,27.8125,29.375,13.005416,10119400
11/1/1994,29.25,30.375,28.4375,28.5,12.618018,9121000
12/1/1994,28.5,30.375,28.5,29.0625,12.94589,10933600
1/1/1995,28.9375,29.375,26.25,27.5,12.249865,16644800
2/1/1995,27.5,27.9375,26.9375,27,12.027143,9229200
3/1/1995,27.125,30.1875,27.0625,29.1875,13.088221,17127800
4/1/1995,29,32.375,29,31.8125,14.265316,13329200
5/1/1995,31.5,33.6875,30.9375,33.5625,15.050049,15009000
6/1/1995,33.4375,36.9375,33.25,35.6875,16.091043,13010400
7/1/1995,35.5625,36.8125,34.0625,35.9375,16.203764,9140800
8/1/1995,36.0625,36.1875,33.375,33.75,15.217447,11507600
9/1/1995,33.5,36.8125,33.5,36.1875,16.411324,8743600
10/1/1995,36.0625,38.125,35.25,36.125,16.382967,8234000
11/1/1995,36.125,38.625,35.8125,38.1875,17.318321,7195200
12/1/1995,38.375,39.75,37.5625,38.625,17.606197,7778800
1/1/1996,38.375,39.625,36.25,38.3125,17.463751,9545200
2/1/1996,38.3125,40.3125,37.375,37.75,17.20735,9419800
3/1/1996,38.125,39.9375,37.875,37.875,17.352079,8675000
4/1/1996,37.6875,37.875,34.625,35.6875,16.349895,15360000
5/1/1996,35.5,37.3125,33.6875,36.375,16.664867,15574800
6/1/1996,36.3125,37.625,34.4375,36.625,16.869064,20565800
7/1/1996,36.75,38.1875,36.125,37.375,17.2145,20418800
8/1/1996,37.375,38.6875,33.6875,33.75,15.544865,15880400
9/1/1996,33.375,34.9375,32.8125,34.4375,15.954752,16271800
10/1/1996,34.3125,34.5625,31.4375,31.75,14.709641,17474600
11/1/1996,31.75,34.5,31.75,33.9375,15.723103,22142800
12/1/1996,33.8125,34.3125,32.3125,32.8125,15.295335,14850600
1/1/1997,32.6875,35.5,32.0625,34.8125,16.227627,20730800
2/1/1997,34.6875,36.375,33.875,34.25,15.965417,18000000
3/1/1997,33.625,34.9375,33.25,33.625,15.76785,16447000
4/1/1997,33.25,35.25,32,34.8125,16.324705,14664800
5/1/1997,34.75,36.875,34.3125,36.875,17.291876,13738000
6/1/1997,36.375,43.4375,36.375,42.8125,20.192951,23681400
7/1/1997,42.5,46.875,42.25,45.9375,21.666883,17888400
8/1/1997,48,50.5,44.25,44.75,21.106787,22387900
9/1/1997,44.75,48.5,42,42.125,19.965282,12451900
